Order,LotFrontage,LotArea,Street,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,BsmtQual,TotalBsmtSF,Heating,HeatingQC,CentralAir,x1stFlrSF,x2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageQual,WoodDeckSF,PoolArea,MoSold,YrSold,SalePrice,Salecat
628,100,13000,Pave,Corner,Gtl,1Fam,6,6,1968,Gd,896,GasA,TA,Y,1182,960,2,1,4,1,Gd,8,1,Gd,Attchd,509,TA,0,0,6,2009,193500,1
629,120,13560,Pave,Corner,Gtl,1Fam,6,3,1968,Fa,1392,GasA,Gd,Y,1392,0,1,0,2,1,TA,5,2,TA,Attchd,576,TA,0,0,7,2009,110000,0
630,,12513,Pave,FR2,Gtl,1Fam,4,4,1920,TA,715,GasA,Gd,Y,1281,457,2,0,4,1,TA,7,1,Gd,Attchd,368,TA,55,0,6,2009,104900,0
631,73,8760,Pave,Inside,Gtl,1Fam,5,7,1956,TA,1169,GasA,TA,Y,1144,0,1,0,3,1,TA,6,0,NA,Attchd,286,TA,257,0,6,2009,150000,1
632,70,8400,Pave,Inside,Gtl,1Fam,6,3,1957,TA,1478,GasA,Gd,Y,1478,0,1,1,3,1,TA,6,2,Gd,Attchd,442,TA,114,0,6,2009,156500,1
633,,12285,Pave,Inside,Gtl,1Fam,7,6,1960,TA,1329,GasA,Gd,Y,1329,0,1,1,3,1,TA,5,2,Gd,Attchd,441,TA,0,0,8,2009,176000,1
634,66,9240,Pave,Inside,Gtl,1Fam,6,8,1959,TA,988,GasA,TA,Y,988,0,2,0,3,1,Gd,6,0,NA,Attchd,297,TA,156,0,6,2009,149500,0
635,80,9600,Pave,Inside,Gtl,1Fam,6,6,1958,TA,1240,GasA,Gd,Y,1632,0,2,0,3,1,TA,6,1,Gd,Attchd,338,TA,289,0,4,2009,139000,0
636,66,12400,Pave,Inside,Gtl,1Fam,6,7,1958,TA,1215,GasA,TA,Y,1215,0,1,0,3,1,TA,6,0,NA,Attchd,297,TA,0,0,6,2009,155000,1
637,70,8750,Pave,Inside,Gtl,1Fam,5,5,1956,TA,1202,GasA,TA,Y,1202,0,1,0,3,1,TA,6,0,NA,Attchd,304,TA,0,0,11,2009,120000,0
638,70,8750,Pave,Inside,Gtl,1Fam,5,5,1955,TA,1382,GasA,Gd,Y,1382,0,1,0,3,1,Gd,6,0,NA,Attchd,350,TA,280,0,7,2009,153000,1
639,80,10400,Pave,Corner,Gtl,1Fam,4,5,1956,TA,1200,GasA,TA,Y,1200,0,1,0,3,1,TA,6,2,Gd,Attchd,294,TA,0,0,11,2009,144000,0
640,120,19296,Pave,Corner,Gtl,1Fam,6,5,1962,TA,1362,GasA,TA,Y,1382,0,1,0,3,1,TA,6,1,TA,Attchd,884,TA,0,0,5,2009,176000,1
641,74,8532,Pave,Inside,Gtl,1Fam,5,6,1954,TA,1297,GasA,Gd,Y,1297,0,1,0,3,1,TA,5,1,TA,Attchd,498,TA,0,0,10,2009,153000,1
642,76,9482,Pave,Inside,Gtl,Duplex,5,4,1958,TA,1866,GasA,Ex,Y,1866,0,2,0,4,2,TA,8,0,NA,Detchd,495,TA,0,0,12,2009,135000,0
643,53,8128,Pave,CulDSac,Gtl,1Fam,6,7,1954,TA,1062,GasA,Gd,Y,1062,0,1,0,3,1,TA,6,0,NA,Attchd,297,TA,0,0,2,2009,131000,0
644,79,10634,Pave,Inside,Gtl,1Fam,5,6,1953,TA,608,GasA,TA,Y,1319,0,1,0,3,1,TA,5,0,NA,Attchd,270,TA,66,0,11,2009,123000,0
645,67,13070,Pave,Corner,Gtl,1Fam,5,5,1951,TA,631,GasA,TA,Y,1112,0,1,0,2,1,TA,5,0,NA,Basment,480,TA,0,0,10,2009,126000,0
646,60,10434,Pave,Inside,Gtl,1Fam,4,5,1955,TA,1005,GasA,TA,Y,1005,0,1,0,2,1,Fa,5,1,TA,Detchd,672,Fa,0,0,11,2009,115000,0
647,75,14559,Pave,Inside,Gtl,1Fam,5,7,1951,TA,1008,GasA,Ex,Y,1363,0,1,0,2,1,TA,6,2,TA,CarPort,288,TA,324,0,6,2009,164900,1
648,80,8480,Pave,Corner,Gtl,1Fam,5,6,1945,TA,793,GasA,TA,Y,793,0,1,0,2,1,Fa,4,0,NA,Detchd,240,TA,0,0,8,2009,113000,0
649,60,7626,Pave,Inside,Gtl,1Fam,5,8,1952,TA,1031,GasA,Gd,Y,1031,0,1,0,2,1,Gd,5,0,NA,Attchd,230,TA,0,0,3,2009,145500,0
650,75,9533,Pave,Inside,Gtl,1Fam,5,5,1953,NA,0,GasA,TA,Y,1210,0,1,1,2,1,TA,7,0,NA,Attchd,616,TA,208,0,8,2009,102900,0
651,107,10615,Pave,Corner,Mod,2fmCon,3,5,1900,Fa,978,GasA,TA,Y,1014,685,2,0,3,2,TA,7,0,NA,CarPort,420,Fa,0,0,8,2009,95000,0
652,78,11419,Pave,Corner,Gtl,1Fam,7,7,1948,TA,699,GasA,Ex,Y,801,726,1,1,3,1,TA,6,1,Gd,Attchd,410,TA,0,0,12,2009,152500,1
653,60,9600,Pave,Inside,Gtl,1Fam,5,6,1950,TA,1200,GasA,TA,Y,1200,0,1,0,3,1,TA,6,0,NA,Attchd,246,TA,126,0,8,2009,129900,0
654,50,8000,Pave,Inside,Gtl,1Fam,6,6,1948,TA,972,GasA,Ex,Y,972,0,1,0,2,1,TA,5,1,Gd,Detchd,240,TA,0,0,5,2009,132000,0
655,53,5470,Pave,Inside,Gtl,1Fam,3,5,1958,TA,792,GasA,Gd,Y,792,0,1,0,2,1,TA,4,0,NA,Attchd,366,Fa,0,0,8,2009,99900,0
656,60,10410,Pave,Inside,Gtl,1Fam,5,7,1916,Fa,660,GasA,Ex,Y,808,704,2,1,3,1,TA,8,0,NA,Detchd,180,Fa,0,0,8,2009,135000,0
657,60,10800,Pave,Inside,Gtl,1Fam,5,7,1939,TA,676,GasA,Ex,Y,676,676,2,0,4,1,Gd,7,0,NA,Detchd,720,TA,187,0,8,2009,149000,0
658,80,8146,Pave,Corner,Gtl,1Fam,4,8,1900,Fa,405,GasA,Gd,Y,717,322,1,0,2,1,TA,6,0,NA,Detchd,281,TA,0,0,5,2009,114000,0
659,52,9022,Pave,Inside,Gtl,1Fam,5,8,1924,TA,768,GasA,Ex,Y,792,0,1,0,2,1,Gd,5,0,NA,Detchd,240,Fa,316,0,5,2009,109500,0
660,60,10230,Pave,Inside,Gtl,1Fam,5,7,1925,TA,1054,GasA,Ex,Y,1078,0,1,0,3,1,Ex,6,0,NA,Detchd,264,TA,0,0,12,2009,125000,0
661,60,10410,Pave,Inside,Gtl,1Fam,4,5,1915,TA,1313,GasA,TA,Y,1313,0,2,0,3,1,Gd,8,1,TA,Detchd,528,TA,0,0,6,2009,142900,0
662,60,7200,Pave,Corner,Gtl,1Fam,7,9,1910,TA,560,GasA,Ex,Y,930,760,2,0,4,1,Gd,5,0,NA,Detchd,624,TA,0,0,8,2009,156500,1
663,90,5400,Pave,Inside,Gtl,1Fam,2,5,1940,Fa,416,GasA,Gd,N,599,0,1,0,2,1,Gd,4,0,NA,NA,0,NA,0,0,6,2009,59000,0
664,90,5400,Pave,Corner,Gtl,1Fam,4,6,1920,TA,840,GasA,Ex,Y,840,534,1,0,2,1,TA,6,0,NA,Detchd,338,TA,0,0,10,2009,105000,0
665,60,10800,Pave,Inside,Gtl,1Fam,5,7,1920,TA,720,GasA,TA,N,846,0,1,0,2,1,Gd,4,0,NA,Detchd,576,TA,0,0,6,2009,106000,0
666,60,10800,Pave,Corner,Gtl,1Fam,3,5,1890,TA,630,GasA,TA,Y,725,0,1,1,1,1,TA,4,0,NA,Detchd,320,TA,0,0,11,2009,78500,0
667,81,9671,Pave,Corner,Gtl,Duplex,6,5,1969,TA,1248,GasA,TA,Y,1248,1296,2,2,6,2,TA,12,0,NA,Attchd,907,TA,0,0,8,2009,190000,1
668,83,10143,Pave,Inside,Gtl,1Fam,6,7,1963,TA,1380,GasA,Fa,Y,1380,0,1,1,3,1,TA,6,0,NA,Attchd,364,TA,0,0,6,2009,154000,1
669,77,11500,Pave,Inside,Gtl,1Fam,6,4,1967,TA,1040,GasA,Gd,Y,1040,0,1,0,3,1,TA,6,1,Po,Attchd,480,TA,0,0,5,2009,163000,1
670,91,11643,Pave,Inside,Gtl,Duplex,5,5,1969,TA,1248,GasA,TA,Y,1338,1296,2,2,6,2,TA,12,0,NA,Detchd,968,TA,0,0,8,2009,200000,1
671,62,8010,Pave,Inside,Gtl,1Fam,6,9,1958,TA,951,GasA,Gd,Y,951,0,1,0,2,1,Gd,6,0,NA,Detchd,480,TA,0,0,9,2009,143500,0
672,90,10454,Pave,Corner,Gtl,1Fam,6,6,1957,TA,1105,GasA,Gd,Y,1105,0,1,0,3,1,TA,5,0,NA,Detchd,308,TA,0,0,4,2009,135000,0
673,64,8712,Pave,Inside,Gtl,1Fam,5,7,1957,TA,992,GasA,TA,Y,1306,0,1,0,2,1,TA,5,0,NA,Detchd,756,TA,0,0,5,2009,153000,1
674,,17600,Pave,Inside,Gtl,1Fam,6,5,1960,TA,1478,GasA,Ex,Y,1478,0,2,0,3,1,TA,6,2,Gd,Attchd,498,TA,0,0,12,2009,157500,1
675,80,9000,Pave,Inside,Mod,1Fam,6,6,1958,Gd,160,GasA,Fa,Y,1142,0,1,0,2,1,TA,5,1,Gd,Basment,384,TA,0,0,4,2009,113500,0
676,60,12144,Pave,Inside,Gtl,1Fam,5,7,1949,TA,832,GasA,Gd,Y,1036,0,1,0,3,1,TA,6,1,Gd,Attchd,288,TA,0,0,9,2009,133000,0
677,60,8544,Pave,Corner,Gtl,Duplex,3,4,1950,NA,0,Wall,Fa,N,1040,0,2,0,2,2,TA,6,0,NA,Detchd,400,TA,0,0,6,2009,92900,0
678,60,8064,Pave,Inside,Gtl,1Fam,6,5,1950,TA,795,GasA,Gd,N,765,368,1,0,3,1,TA,5,0,NA,Detchd,900,TA,0,0,12,2009,128500,0
679,60,7200,Pave,Inside,Gtl,Duplex,4,5,1949,NA,0,Wall,Fa,N,1040,0,2,0,2,2,TA,6,0,NA,Detchd,420,TA,0,0,6,2009,90000,0
680,60,7200,Pave,Inside,Gtl,1Fam,5,4,1950,TA,1208,GasA,Gd,Y,1136,768,1,1,3,1,TA,7,0,NA,Attchd,240,TA,0,0,5,2009,138000,0
681,71,7350,Pave,Inside,Gtl,1Fam,5,6,1958,TA,1041,GasA,Gd,Y,1041,0,1,0,3,1,TA,6,0,NA,Attchd,294,TA,0,0,3,2009,128000,0
682,70,7560,Pave,Inside,Gtl,1Fam,5,6,1958,TA,1029,GasA,TA,Y,1339,0,1,0,3,1,TA,6,0,NA,Attchd,294,TA,0,0,5,2009,139000,0
683,60,7200,Pave,Corner,Gtl,1Fam,5,7,1952,TA,732,GasA,TA,Y,732,0,1,0,2,1,TA,4,0,NA,Detchd,240,TA,0,0,9,2009,118900,0
684,80,8000,Pave,Inside,Gtl,1Fam,5,5,1959,Gd,528,GasA,TA,Y,1183,0,1,0,3,1,TA,6,0,NA,Attchd,288,TA,0,0,7,2009,138000,0
685,70,7931,Pave,Inside,Gtl,1Fam,5,5,1959,TA,1148,GasA,TA,Y,1148,0,1,0,3,1,TA,6,0,NA,Attchd,672,TA,0,0,7,2009,132500,0
686,60,10800,Pave,Inside,Gtl,1Fam,4,7,1949,TA,832,GasA,TA,Y,832,629,2,0,4,1,TA,6,0,NA,Detchd,384,TA,0,0,8,2009,133500,0
687,60,8064,Pave,Corner,Gtl,1Fam,6,7,1948,TA,864,GasA,TA,Y,1064,0,1,0,3,1,TA,6,0,NA,Detchd,576,TA,180,0,8,2009,135000,0
688,76,7570,Pave,Corner,Gtl,1Fam,6,5,1964,TA,780,GasA,TA,Y,993,813,1,1,4,1,TA,8,0,NA,Attchd,483,TA,0,0,3,2009,144750,0
689,75,8604,Pave,Inside,Gtl,Duplex,5,7,1978,Gd,941,GasA,Gd,Y,941,0,1,0,2,1,Gd,4,0,NA,Attchd,564,TA,0,0,11,2009,145000,0
690,80,7936,Pave,Inside,Gtl,1Fam,6,6,1963,TA,1045,GasA,TA,Y,1045,0,1,0,3,1,TA,6,1,Fa,Attchd,264,TA,0,0,4,2009,127000,0
691,60,6600,Pave,Inside,Gtl,1Fam,5,5,1962,TA,894,GasA,Gd,N,894,0,1,0,2,1,TA,5,0,NA,Detchd,308,TA,0,0,8,2009,109500,0
692,,3950,Pave,Inside,Gtl,1Fam,6,8,1926,TA,818,GasA,TA,Y,818,406,1,0,3,1,TA,5,0,NA,Detchd,210,TA,0,0,12,2009,115000,0
693,60,10440,Pave,Corner,Gtl,1Fam,5,6,1910,TA,440,GasA,Gd,Y,682,548,1,1,2,1,TA,5,0,NA,Detchd,440,TA,74,0,5,2009,110000,0
694,68,4080,Pave,Inside,Gtl,1Fam,6,8,1935,TA,901,GasA,Gd,Y,861,517,1,0,3,1,Gd,6,0,NA,Detchd,162,Fa,54,0,6,2009,128900,0
695,57,10307,Pave,Inside,Gtl,Duplex,6,5,1910,TA,972,GasA,Gd,N,972,972,2,0,4,2,TA,12,0,NA,Detchd,324,Fa,0,0,6,2009,103500,0
696,52,5720,Pave,Inside,Gtl,1Fam,5,6,1941,TA,676,GasA,Ex,Y,676,455,1,1,3,1,TA,5,0,NA,Detchd,200,TA,26,0,8,2009,66500,0
697,90,15660,Pave,Inside,Gtl,1Fam,5,8,1910,TA,240,GasA,TA,Y,810,496,1,1,3,1,Gd,6,0,NA,Detchd,472,Fa,0,0,7,2009,130000,0
698,90,9900,Pave,Corner,Gtl,1Fam,5,8,1910,TA,504,GasA,Ex,Y,764,700,2,0,3,1,TA,7,0,NA,NA,0,NA,0,0,3,2009,129000,0
699,57,6406,Pave,Inside,Gtl,1Fam,5,6,1939,TA,690,GasA,TA,Y,868,690,1,1,3,1,TA,7,1,Gd,Detchd,400,TA,0,0,10,2009,150000,1
700,60,6600,Pave,Corner,Gtl,1Fam,5,4,1892,TA,994,GasA,TA,N,1378,994,2,0,4,2,TA,11,0,NA,Attchd,432,TA,0,0,12,2009,107500,0
701,63,7627,Pave,Corner,Gtl,2fmCon,4,6,1920,Fa,600,GasA,Gd,N,1101,600,2,0,4,2,Fa,8,0,NA,NA,0,NA,0,0,10,2009,94550,0
702,60,7596,Pave,Inside,Gtl,Duplex,5,5,1952,TA,960,GasA,Gd,Y,960,1000,2,0,4,2,TA,10,0,NA,Detchd,400,TA,0,0,7,2009,124500,0
703,60,3378,Pave,Inside,Gtl,1Fam,7,8,1946,TA,651,GasA,Gd,Y,707,682,1,1,3,1,TA,6,2,Gd,Detchd,240,TA,0,0,9,2009,135000,0
704,56,10134,Pave,Inside,Gtl,1Fam,5,5,1910,Fa,801,GasA,Gd,N,801,646,1,0,3,1,TA,6,0,NA,NA,0,NA,80,0,7,2009,103000,0
705,60,6000,Pave,Inside,Mod,2fmCon,4,4,1953,Fa,936,GasA,TA,N,936,0,1,0,2,1,TA,4,0,NA,Detchd,576,TA,0,0,2,2009,93000,0
706,50,6000,Pave,Inside,Gtl,1Fam,5,7,1950,TA,768,GasA,TA,Y,768,560,1,1,3,1,TA,6,0,NA,Detchd,308,TA,0,0,3,2009,129500,0
707,50,6000,Pave,Inside,Gtl,2fmCon,5,4,1954,TA,811,GasA,TA,Y,811,576,2,0,3,2,Gd,7,0,NA,BuiltIn,256,TA,0,0,11,2009,93000,0
708,62,7404,Pave,Corner,Gtl,1Fam,4,6,1920,Fa,861,GasA,TA,Y,861,0,1,0,2,1,TA,5,0,NA,Detchd,288,TA,0,0,11,2009,80000,0
709,50,5925,Pave,Corner,Gtl,1Fam,2,4,1940,NA,0,GasA,Fa,N,612,0,1,0,1,1,TA,4,0,NA,Detchd,308,TA,0,0,10,2009,45000,0
710,50,5925,Pave,Inside,Gtl,1Fam,3,6,1910,TA,600,Grav,Fa,N,600,368,1,0,2,1,TA,6,0,NA,NA,0,NA,0,0,5,2009,37900,0
711,50,5784,Pave,Inside,Gtl,1Fam,5,8,1938,Fa,190,GasA,Gd,Y,886,0,1,0,2,1,TA,4,0,NA,Attchd,273,TA,144,0,12,2009,91300,0
712,60,8520,Pave,Inside,Gtl,1Fam,5,8,1923,Fa,624,GasA,TA,Y,792,0,1,0,2,1,TA,5,0,NA,Detchd,287,TA,0,0,2,2009,99500,0
713,33,4456,Pave,Inside,Gtl,2fmCon,4,5,1920,TA,736,GasA,Gd,Y,736,716,2,0,2,3,TA,8,0,NA,NA,0,NA,0,0,6,2009,113000,0
714,60,9600,Pave,Inside,Gtl,1Fam,4,4,1910,Fa,677,GasA,TA,Y,833,677,2,0,3,1,Gd,7,0,NA,Detchd,720,TA,0,0,6,2009,87500,0
715,50,3500,Pave,Inside,Gtl,1Fam,5,7,1947,TA,720,GasA,TA,Y,720,564,1,1,2,1,TA,5,0,NA,Detchd,240,TA,0,0,4,2009,110000,0
716,90,8100,Pave,Corner,Gtl,1Fam,5,5,1898,TA,849,GasA,TA,N,1075,1063,2,0,2,3,TA,11,0,NA,Detchd,360,Fa,40,0,11,2009,106000,0
717,65,11700,Pave,Corner,Gtl,1Fam,7,7,1880,TA,1240,GasW,TA,N,1320,1320,1,1,4,1,Gd,8,1,Gd,Detchd,864,TA,181,0,5,2009,265979,1
718,70,8400,Pave,Corner,Gtl,1Fam,6,7,1900,Fa,917,GasA,Gd,Y,1090,917,2,0,3,1,Ex,8,0,NA,Detchd,357,TA,0,0,6,2009,160000,1
719,60,3600,Pave,Inside,Gtl,1Fam,6,7,1917,TA,624,GasA,Ex,Y,664,624,1,0,3,1,Ex,5,1,Gd,Attchd,280,TA,0,0,5,2009,119000,0
720,121,17671,Pave,Corner,Gtl,1Fam,8,9,1882,TA,916,GasA,Gd,Y,916,826,1,1,4,1,Gd,8,1,Gd,Attchd,424,TA,0,0,11,2009,168000,1
721,,3300,Pave,Inside,Gtl,1Fam,4,3,1910,TA,624,GasA,Ex,Y,816,0,1,0,2,1,TA,5,1,Gd,NA,0,NA,0,0,6,2009,58500,0
722,50,9000,Pave,Inside,Gtl,1Fam,7,9,1920,TA,650,GasA,Ex,Y,832,650,1,0,3,1,TA,7,0,NA,Detchd,324,TA,0,0,7,2009,143000,0
723,60,7200,Pave,Inside,Gtl,1Fam,5,4,1910,TA,1022,GasW,TA,N,1022,0,1,0,2,1,TA,4,0,NA,Detchd,280,TA,0,0,6,2009,85000,0
724,98,8820,Pave,Corner,Gtl,1Fam,5,6,1890,TA,1088,GasA,TA,Y,1188,561,1,0,2,1,TA,7,0,NA,Detchd,456,TA,48,0,9,2009,124900,0
725,60,5400,Pave,Inside,Gtl,1Fam,6,6,1920,TA,972,GasA,Ex,Y,1044,0,1,0,3,1,TA,6,0,NA,Detchd,207,Fa,0,0,9,2009,119000,0
726,60,9720,Pave,Inside,Gtl,1Fam,6,7,1910,TA,741,GasA,Ex,Y,780,741,1,0,4,1,Gd,8,0,NA,Detchd,640,TA,0,0,9,2009,146500,0
727,60,7879,Pave,Inside,Gtl,1Fam,4,5,1920,TA,720,GasA,TA,N,720,0,1,0,2,1,TA,4,0,NA,NA,0,NA,0,0,11,2009,34900,0
728,72,9392,Pave,Corner,Gtl,1Fam,3,3,1900,Fa,245,GasA,TA,N,797,0,1,0,2,1,TA,5,0,NA,NA,0,NA,0,0,9,2009,44000,0
729,144,21384,Pave,Inside,Gtl,1Fam,5,6,1923,TA,1324,GasA,Ex,Y,1072,504,1,1,3,1,Gd,6,1,TA,Attchd,528,TA,0,0,5,2009,223500,1
730,,6615,Pave,Inside,Gtl,1Fam,6,6,1923,TA,1022,GasA,TA,N,1432,0,1,0,3,1,Gd,6,1,Gd,BuiltIn,216,Fa,266,0,9,2009,149000,0
731,55,7264,Pave,Inside,Gtl,1Fam,7,7,1925,TA,952,GasW,Gd,N,952,596,2,1,3,1,Ex,5,0,NA,Detchd,672,TA,74,0,10,2009,205000,1
732,50,4960,Pave,Inside,Gtl,1Fam,5,7,1930,TA,297,GasA,Ex,Y,1001,653,2,0,3,1,TA,7,1,Gd,Detchd,336,TA,244,0,5,2009,137000,0
733,,8854,Pave,Inside,Gtl,1Fam,6,6,1916,TA,952,Grav,Fa,N,952,0,1,0,2,1,Fa,4,1,Gd,Detchd,192,Fa,0,0,5,2009,121000,0
734,50,6000,Pave,Inside,Gtl,1Fam,4,6,1936,TA,672,GasA,TA,Y,757,567,1,0,3,1,TA,6,0,NA,Detchd,240,TA,0,0,7,2009,128000,0
735,50,6000,Pave,Inside,Gtl,1Fam,6,9,1937,TA,698,GasA,TA,Y,786,390,1,0,2,1,TA,4,0,NA,Detchd,624,TA,210,0,7,2009,134900,0
736,50,6000,Pave,Corner,Gtl,1Fam,5,8,1925,TA,884,GasA,Ex,Y,884,464,1,0,3,1,TA,5,1,Fa,Detchd,216,TA,0,0,5,2009,117000,0
737,50,6000,Pave,Inside,Gtl,1Fam,6,6,1939,TA,780,GasA,Ex,Y,825,587,1,0,4,1,TA,6,1,Gd,Detchd,280,TA,45,0,5,2009,132500,0
738,60,6000,Pave,Corner,Gtl,1Fam,5,5,1924,TA,468,GasA,Gd,Y,822,320,1,0,3,1,TA,6,0,NA,Attchd,320,TA,0,0,6,2009,93000,0
739,50,6000,Pave,Inside,Gtl,1Fam,6,7,1926,TA,884,GasA,Gd,Y,904,0,1,0,2,1,TA,4,0,NA,Detchd,180,TA,0,0,1,2009,119000,0
740,60,6911,Pave,FR2,Gtl,1Fam,5,5,1924,TA,1145,GasA,TA,Y,1301,0,1,0,2,1,Fa,5,0,NA,Detchd,440,TA,0,0,10,2009,100000,0
741,51,6120,Pave,Corner,Gtl,1Fam,5,6,1936,TA,927,GasA,TA,Y,1067,472,1,1,3,1,TA,5,0,NA,Detchd,576,TA,112,0,4,2009,141500,0
742,51,6120,Pave,Inside,Gtl,1Fam,4,7,1935,TA,884,GasA,Ex,Y,989,584,1,0,3,1,Gd,6,0,NA,Detchd,240,TA,0,0,7,2009,133000,0
743,51,6120,Pave,Inside,Gtl,1Fam,2,3,1936,TA,264,Grav,Fa,N,800,0,1,0,1,1,Fa,4,1,Po,NA,0,NA,0,0,1,2009,60000,0
744,51,6120,Pave,Corner,Gtl,1Fam,5,7,1931,TA,715,GasA,TA,Y,875,0,1,0,2,1,TA,5,0,NA,Detchd,180,Fa,48,0,11,2009,105000,0
745,51,6120,Pave,Inside,Gtl,1Fam,5,6,1925,TA,960,GasA,Gd,Y,995,0,1,0,2,1,TA,5,0,NA,Detchd,264,TA,0,0,3,2009,115000,0
746,51,6120,Pave,Inside,Gtl,1Fam,5,6,1938,TA,952,GasA,TA,Y,994,588,2,0,3,1,TA,6,1,Gd,Detchd,250,Fa,189,0,2,2009,150000,1
747,50,8635,Pave,Inside,Gtl,1Fam,5,5,1925,TA,1072,GasA,TA,Y,1072,0,1,0,2,1,TA,5,0,NA,Detchd,1184,Fa,0,0,8,2009,126500,0
748,,11888,Pave,Inside,Gtl,1Fam,6,6,1916,TA,844,GasA,Gd,N,1445,689,2,0,5,1,Gd,10,0,NA,Detchd,441,TA,0,0,7,2009,214500,1
749,60,11414,Pave,Corner,Gtl,1Fam,7,8,1910,Gd,728,GasA,TA,N,1136,883,1,0,3,1,Gd,8,0,NA,Detchd,532,TA,509,0,10,2009,167500,1
750,57,8094,Pave,Inside,Gtl,1Fam,6,6,1915,TA,1048,GasA,Gd,Y,1048,720,2,0,3,1,TA,8,0,NA,Detchd,576,Fa,0,0,6,2009,155000,1
751,50,2500,Pave,Corner,Gtl,1Fam,7,8,1915,TA,910,GasA,Ex,Y,916,910,1,1,4,1,Ex,7,1,Gd,Attchd,164,Fa,0,0,6,2009,155000,1
752,68,9928,Pave,Inside,Gtl,1Fam,7,8,1915,TA,672,GasA,Fa,Y,1272,672,2,0,3,1,TA,8,0,NA,Detchd,216,TA,24,0,6,2009,179900,1
753,92,5520,Pave,Corner,Gtl,1Fam,6,6,1912,TA,755,GasA,Ex,Y,929,929,1,0,5,1,TA,8,0,NA,NA,0,NA,0,0,7,2009,104000,0
754,50,3000,Pave,Inside,Gtl,Duplex,5,1,1922,TA,1040,GasA,TA,N,1088,1040,2,0,4,2,TA,11,0,NA,NA,0,NA,0,0,9,2009,62500,0
755,57,6876,Pave,Inside,Gtl,1Fam,6,5,1927,TA,720,GasA,Fa,Y,1146,784,2,0,4,1,TA,8,0,NA,Attchd,316,TA,0,0,8,2009,149000,0
756,52,6240,Pave,Inside,Gtl,1Fam,4,5,1925,TA,780,GasA,TA,Y,848,0,1,0,2,1,TA,5,0,NA,Detchd,539,TA,0,0,1,2009,103000,0
757,,5775,Pave,Corner,Mod,1Fam,6,7,1915,TA,483,GasA,Ex,Y,741,686,1,0,3,1,Gd,7,0,NA,Attchd,379,TA,0,0,2,2009,123000,0
758,41,5852,Pave,Corner,Gtl,2fmCon,7,5,1902,TA,1020,GasA,TA,N,978,886,2,1,6,1,TA,9,0,NA,NA,0,NA,0,0,5,2009,97500,0
759,60,5160,Pave,Corner,Gtl,1Fam,6,6,1927,TA,1204,GasA,TA,Y,1204,462,1,0,3,1,TA,4,0,NA,Detchd,384,Fa,0,0,8,2009,135000,0
760,86,5160,Pave,Inside,Gtl,1Fam,4,6,1923,Gd,858,GasA,TA,Y,892,0,1,0,1,1,Gd,5,0,NA,NA,0,NA,0,0,7,2009,70000,0
761,60,10320,Pave,Inside,Gtl,2fmCon,6,7,1915,TA,698,GasA,Ex,Y,754,649,1,1,3,1,TA,7,0,NA,Detchd,308,TA,0,0,2,2009,116000,0
762,50,4280,Pave,Inside,Gtl,1Fam,4,9,1946,Fa,560,GasA,Ex,Y,704,0,1,0,2,1,Fa,4,0,NA,CarPort,220,TA,0,0,9,2009,88750,0
763,60,10800,Pave,Inside,Gtl,Duplex,5,5,1987,Gd,1200,GasA,TA,Y,1200,0,3,0,3,1,TA,5,0,NA,NA,0,NA,120,0,3,2009,179000,1
764,60,10800,Pave,Inside,Gtl,Duplex,5,5,1987,Gd,1200,GasA,TA,Y,1200,0,3,0,3,1,TA,5,0,NA,NA,0,NA,120,0,3,2009,179000,1
765,,10547,Pave,Inside,Gtl,Duplex,5,5,1978,Gd,1152,GasA,TA,Y,1152,0,2,0,2,2,TA,6,0,NA,Detchd,252,TA,0,0,7,2009,159900,1
766,,10020,Pave,Inside,Sev,1Fam,1,1,1922,Fa,683,GasA,Gd,N,904,0,0,1,1,1,Fa,4,0,NA,NA,0,NA,0,0,3,2009,61000,0
767,54,6629,Pave,Inside,Gtl,1Fam,6,6,1925,TA,672,GasA,TA,N,697,672,2,0,3,1,TA,6,0,NA,Detchd,300,TA,147,0,7,2009,103600,0
768,60,9780,Pave,Inside,Gtl,1Fam,5,3,1934,TA,585,GasA,TA,N,687,425,2,0,4,1,TA,6,0,NA,Detchd,226,Po,0,0,3,2009,63000,0
769,70,12886,Pave,Inside,Gtl,1Fam,5,6,1963,Gd,520,GasA,Ex,Y,1464,0,2,0,3,1,TA,6,1,TA,Attchd,480,TA,302,0,10,2009,175000,1
770,80,8816,Pave,Corner,Gtl,1Fam,5,6,1963,TA,1121,GasA,TA,Y,1121,0,1,0,3,1,TA,5,0,NA,Detchd,480,TA,0,0,6,2009,139000,0
771,70,11184,Pave,Inside,Gtl,1Fam,6,5,1978,TA,918,GasA,Gd,Y,918,765,2,1,3,1,TA,7,1,TA,Attchd,440,TA,243,0,7,2009,172500,1
772,75,11625,Pave,Inside,Gtl,1Fam,5,6,1967,TA,1052,GasA,TA,Y,1052,0,1,1,3,1,TA,6,1,Po,Attchd,668,TA,0,0,4,2009,113500,0
